rep,learning_rate,steps,classifier,feature_column,train_auc_precision_recall,train_recall,train_average_loss,train_accuracy_baseline,train_accuracy,train_auc,train_loss,train_label/mean,train_precision,train_global_step,train_prediction/mean,test_auc_precision_recall,test_recall,test_average_loss,test_accuracy_baseline,test_accuracy,test_auc,test_loss,test_label/mean,test_precision,test_global_step,test_prediction/mean
3,0.1,1000,"dnn classifier with [4, 4] hidden_units",4 dim embedding column,0.30627397,0.0,0.21843012,0.93,0.93,0.80530727,0.21843012,0.07,0.0,1000,0.067984894,0.29305714,0.0,0.23082814,0.922,0.922,0.8076784,0.23082814,0.078,0.0,1000,0.06796708
3,0.1,1000,"dnn classifier with [4, 4] hidden_units",10 dim embedding column,0.31444436,0.0,0.21587181,0.93,0.93,0.84712744,0.21587181,0.07,0.0,1000,0.063750826,0.43563724,0.0,0.23502795,0.919,0.919,0.88217866,0.23502795,0.081,0.0,1000,0.06055084
3,0.1,1000,"dnn classifier with [4, 4] hidden_units",100 dim embedding column,0.3659805,0.0,0.18923977,0.936,0.936,0.85633683,0.18923977,0.064,0.0,1000,0.04882886,0.3757391,0.0,0.19578883,0.93299997,0.933,0.8561693,0.19578883,0.067,0.0,1000,0.045246862
3,0.1,1000,"dnn classifier with [10, 10] hidden_units",indicator column,0.69729406,0.359375,0.1438445,0.936,0.959,0.92787635,0.1438445,0.064,1.0,1000,0.029595202,0.57850343,0.25,0.19107781,0.928,0.946,0.8829173,0.19107781,0.072,1.0,1000,0.03420229
3,0.1,1000,"dnn classifier with [10, 10] hidden_units",2 dim embedding column,0.22764875,0.0,0.24399884,0.926,0.926,0.75281656,0.24399884,0.074,0.0,1000,0.055779908,0.1775813,0.0,0.2572732,0.921,0.921,0.73918,0.2572732,0.079,0.0,1000,0.05439146
3,0.1,1000,"dnn classifier with [10, 10] hidden_units",4 dim embedding column,0.13583714,0.0,0.21753272,0.936,0.936,0.7667184,0.21753272,0.064,0.0,1000,0.058328804,0.13118431,0.0,0.24076048,0.929,0.929,0.69580346,0.24076048,0.071,0.0,1000,0.055415247
3,0.1,1000,"dnn classifier with [10, 10] hidden_units",10 dim embedding column,0.48438996,0.0,0.20142536,0.929,0.929,0.91173303,0.20142536,0.071,0.0,1000,0.04553409,0.36902457,0.0,0.2248848,0.924,0.924,0.83891547,0.2248848,0.076,0.0,1000,0.043893687
3,0.1,1000,"dnn classifier with [10, 10] hidden_units",100 dim embedding column,0.3923328,0.0,0.17645521,0.944,0.944,0.9073755,0.17645521,0.056,0.0,1000,0.10060012,0.40710187,0.0,0.20457214,0.928,0.928,0.84831476,0.20457214,0.072,0.0,1000,0.101641536
3,0.1,1000,"dnn classifier with [20, 20] hidden_units",indicator column,0.619544,0.0,0.13095197,0.94200003,0.942,0.94089985,0.13095197,0.058,0.0,1000,0.045469254,0.39301085,0.0,0.21978217,0.923,0.923,0.86005545,0.21978217,0.077,0.0,1000,0.04017824
3,0.1,1000,"dnn classifier with [20, 20] hidden_units",2 dim embedding column,0.13698728,0.0,0.2115023,0.94,0.94,0.73684394,0.2115023,0.06,0.0,1000,0.03728649,0.11425449,0.0,0.31171852,0.919,0.919,0.5954473,0.31171852,0.081,0.0,1000,0.035829913
3,0.1,1000,"dnn classifier with [20, 20] hidden_units",4 dim embedding column,0.26850182,0.0,0.21622357,0.93,0.93,0.8524347,0.21622357,0.07,0.0,1000,0.09264902,0.26909417,0.0,0.2321108,0.922,0.922,0.8099171,0.2321108,0.078,0.0,1000,0.08722808
3,0.1,1000,"dnn classifier with [20, 20] hidden_units",10 dim embedding column,0.17478508,0.0,0.19958015,0.941,0.941,0.8156307,0.19958015,0.059,0.0,1000,0.06013406,0.2067968,0.0,0.23128095,0.928,0.928,0.79059654,0.23128095,0.072,0.0,1000,0.057971798
3,0.1,1000,"dnn classifier with [20, 20] hidden_units",100 dim embedding column,0.4182018,0.0,0.19575776,0.931,0.931,0.8729666,0.19575776,0.069,0.0,1000,0.066374846,0.3456483,0.0,0.21000549,0.923,0.923,0.8635871,0.21000549,0.077,0.0,1000,0.06309079
3,0.1,2000,linear classifier,categorical column with vocabulary list,0.7674858,0.48412699,0.11570012,0.937,0.965,0.9443321,0.11570012,0.063,0.92424244,2000,0.04031061,0.65761393,0.47297296,0.18412164,0.926,0.9565,0.9044915,0.18412164,0.074,0.886076,2000,0.046085633
3,0.1,2000,"dnn classifier with [4, 4] hidden_units",indicator column,0.8009409,0.3548387,0.13051564,0.938,0.96,0.9661578,0.13051564,0.062,1.0,2000,0.022626318,0.66352403,0.21428572,0.20722127,0.923,0.9395,0.9175982,0.20722127,0.077,1.0,2000,0.024346156
3,0.1,2000,"dnn classifier with [4, 4] hidden_units",2 dim embedding column,0.20864102,0.0,0.21100482,0.9405,0.9405,0.76874006,0.21100482,0.0595,0.0,2000,0.06677334,0.34277302,0.0,0.25411236,0.921,0.921,0.755008,0.25411236,0.079,0.0,2000,0.06544503
3,0.1,2000,"dnn classifier with [4, 4] hidden_units",4 dim embedding column,0.36297584,0.0,0.18127552,0.9355,0.9355,0.9022141,0.18127552,0.0645,0.0,2000,0.040848427,0.51280445,0.0,0.21394166,0.9235,0.9235,0.858274,0.21394166,0.0765,0.0,2000,0.03944613
3,0.1,2000,"dnn classifier with [4, 4] hidden_units",10 dim embedding column,0.5530642,0.0,0.17439033,0.935,0.935,0.913731,0.17439033,0.065,0.0,2000,0.04999855,0.5391983,0.0,0.19431011,0.9255,0.9255,0.89709353,0.19431011,0.0745,0.0,2000,0.049939495
3,0.1,2000,"dnn classifier with [4, 4] hidden_units",100 dim embedding column,0.5178321,0.0,0.19490016,0.9325,0.9325,0.89804983,0.19490016,0.0675,0.0,2000,0.02571503,0.52390766,0.0,0.21503411,0.9235,0.9235,0.8915943,0.21503411,0.0765,0.0,2000,0.026958643
3,0.1,2000,"dnn classifier with [10, 10] hidden_units",indicator column,0.7299974,0.45081967,0.1122112,0.939,0.964,0.95182794,0.1122112,0.061,0.9166667,2000,0.03888258,0.60128427,0.37414965,0.18146573,0.9265,0.951,0.8907343,0.18146573,0.0735,0.90163934,2000,0.036622237
3,0.1,2000,"dnn classifier with [10, 10] hidden_units",2 dim embedding column,0.2805435,0.0,0.18208197,0.94,0.94,0.8518262,0.18208197,0.06,0.0,2000,0.047896575,0.44250286,0.0,0.20478693,0.923,0.923,0.87431407,0.20478693,0.077,0.0,2000,0.04959139
3,0.1,2000,"dnn classifier with [10, 10] hidden_units",4 dim embedding column,0.36683553,0.0,0.20312399,0.938,0.938,0.861519,0.20312399,0.062,0.0,2000,0.09905177,0.3161317,0.0,0.2305354,0.92149997,0.9215,0.8236986,0.2305354,0.0785,0.0,2000,0.09503692
3,0.1,2000,"dnn classifier with [10, 10] hidden_units",10 dim embedding column,0.611237,0.20930232,0.14498714,0.9355,0.949,0.9311979,0.14498714,0.0645,1.0,2000,0.050107133,0.5307651,0.26415095,0.19052742,0.9205,0.9395,0.88389885,0.19052742,0.0795,0.9130435,2000,0.053236485
3,0.1,2000,"dnn classifier with [10, 10] hidden_units",100 dim embedding column,0.49635208,0.0,0.17131376,0.9365,0.9365,0.89494514,0.17131376,0.0635,0.0,2000,0.034366805,0.57955694,0.0,0.18647173,0.9225,0.9225,0.9105009,0.18647173,0.0775,0.0,2000,0.038686834
3,0.1,2000,"dnn classifier with [20, 20] hidden_units",indicator column,0.74970233,0.5362319,0.12953177,0.931,0.959,0.9391277,0.12953177,0.069,0.8043478,2000,0.053418867,0.6852324,0.47402596,0.18103944,0.923,0.9485,0.90180606,0.18103944,0.077,0.76842105,2000,0.054595586
3,0.1,2000,"dnn classifier with [20, 20] hidden_units",2 dim embedding column,0.30283785,0.10084034,0.19745712,0.9405,0.945,0.79243565,0.19745712,0.0595,0.8,2000,0.0962203,0.47584507,0.25477707,0.21033278,0.92149997,0.939,0.82408047,0.21033278,0.0785,0.8888889,2000,0.09515593
3,0.1,2000,"dnn classifier with [20, 20] hidden_units",4 dim embedding column,0.31624427,0.0,0.18226315,0.9385,0.9385,0.8558481,0.18226315,0.0615,0.0,2000,0.062043175,0.37380865,0.0,0.21357162,0.9225,0.9225,0.8470863,0.21357162,0.0775,0.0,2000,0.060383774
3,0.1,2000,"dnn classifier with [20, 20] hidden_units",10 dim embedding column,0.45269,0.0,0.17756666,0.94200003,0.942,0.9201167,0.17756666,0.058,0.0,2000,0.0999859,0.4276864,0.0,0.20749755,0.926,0.926,0.8626376,0.20749755,0.074,0.0,2000,0.09838107
3,0.1,2000,"dnn classifier with [20, 20] hidden_units",100 dim embedding column,0.42061567,0.0,0.15592004,0.94200003,0.942,0.9070896,0.15592004,0.058,0.0,2000,0.042654693,0.5438212,0.0,0.19380447,0.9245,0.9245,0.8936279,0.19380447,0.0755,0.0,2000,0.044184174
3,0.01,500,linear classifier,categorical column with vocabulary list,0.26492327,0.0,0.20284398,0.948,0.948,0.7329196,0.20284398,0.052,0.0,500,0.016518937,0.38579893,0.0,0.32778734,0.912,0.912,0.77870816,0.32778734,0.088,0.0,500,0.015755259
3,0.01,500,"dnn classifier with [4, 4] hidden_units",indicator column,0.28533024,0.0,0.22085385,0.94,0.94,0.8270923,0.22085385,0.06,0.0,500,0.016147984,0.23572531,0.0,0.27818203,0.928,0.928,0.81435585,0.27818203,0.072,0.0,500,0.014170928
3,0.01,500,"dnn classifier with [4, 4] hidden_units",2 dim embedding column,0.057612017,0.0,0.26181677,0.95,0.95,0.6004211,0.26181677,0.05,0.0,500,0.16768208,0.07692911,0.0,0.31771404,0.916,0.916,0.49334583,0.31771404,0.084,0.0,500,0.16766107
3,0.01,500,"dnn classifier with [4, 4] hidden_units",4 dim embedding column,0.17558034,0.0,0.2825284,0.922,0.922,0.61199176,0.2825284,0.078,0.0,500,0.13149402,0.31311816,0.0,0.26846677,0.924,0.924,0.7209217,0.26846677,0.076,0.0,500,0.13151947
